degree,value
330,0.000001
235,0.000001
231,0.000001
207,0.000001
233,0.000001
282,0.000001
239,0.000001
268,0.000001
253,0.000001
236,0.000001
244,0.000001
167,0.000003
225,0.000001
177,0.000002
227,0.000001
264,0.000001
188,0.000002
265,0.000001
158,0.000002
261,0.000001
146,0.000003
203,0.000002
191,0.000002
259,0.000001
204,0.000001
263,0.000001
215,0.000002
223,0.000001
166,0.000003
181,0.000006
174,0.000002
271,0.000002
210,0.000002
270,0.000001
234,0.000001
198,0.000003
211,0.000001
195,0.000004
272,0.000001
333,0.000001
144,0.000006
201,0.000002
159,0.000004
267,0.000002
172,0.000005
283,0.000001
200,0.000002
323,0.000002
226,0.000002
128,0.000010
178,0.000002
280,0.000002
214,0.000002
258,0.000001
230,0.000002
242,0.000001
238,0.000001
147,0.000004
155,0.000006
293,0.000001
156,0.000004
202,0.000001
194,0.000001
121,0.000013
190,0.000003
187,0.000004
132,0.000005
164,0.000006
133,0.000013
250,0.000001
129,0.000011
193,0.000002
216,0.000004
219,0.000002
162,0.000007
182,0.000002
284,0.000001
252,0.000001
278,0.000002
175,0.000004
254,0.000002
218,0.000002
220,0.000002
285,0.000002
120,0.000021
212,0.000002
213,0.000002
111,0.000019
169,0.000005
173,0.000004
152,0.000006
221,0.000002
224,0.000003
307,0.000001
97,0.000033
627,0.000001
163,0.000006
199,0.000005
192,0.000002
148,0.000006
102,0.000025
106,0.000030
246,0.000002
107,0.000027
41,0.000318
71,0.000087
33,0.000512
69,0.000094
45,0.000238
48,0.000206
24,0.000965
49,0.000200
40,0.000335
73,0.000077
240,0.000002
140,0.000010
29,0.000717
196,0.000003
26,0.000868
34,0.000484
70,0.000083
53,0.000159
189,0.000003
22,0.001199
31,0.000567
36,0.000416
347,0.000001
10,0.005707
114,0.000018
281,0.000001
91,0.000033
349,0.000001
12,0.003830
179,0.000004
32,0.000545
67,0.000096
122,0.000013
717,0.000001
43,0.000272
55,0.000167
85,0.000052
6,0.015371
9,0.007001
176,0.000004
72,0.000071
37,0.000403
274,0.000001
59,0.000115
101,0.000029
38,0.000381
205,0.000002
28,0.000758
186,0.000002
19,0.001550
1,0.648810
168,0.000006
4,0.034452
171,0.000006
2,0.137834
63,0.000122
84,0.000052
5,0.022232
42,0.000312
209,0.000003
79,0.000059
52,0.000178
15,0.002563
86,0.000050
7,0.011537
3,0.060472
170,0.000008
96,0.000037
17,0.002012
184,0.000003
74,0.000066
23,0.001126
397,0.000001
60,0.000132
109,0.000027
367,0.000001
30,0.000618
197,0.000003
351,0.000001
14,0.002991
65,0.000098
20,0.001448
18,0.001720
185,0.000007
27,0.000799
90,0.000045
257,0.000002
11,0.004704
345,0.000001
8,0.008751
87,0.000043
92,0.000033
13,0.003372
180,0.000002
66,0.000090
21,0.001365
62,0.000101
95,0.000038
16,0.002257
183,0.000002
161,0.000010
50,0.000223
217,0.000003
56,0.000159
301,0.000002
134,0.000007
141,0.000009
39,0.000339
206,0.000004
44,0.000264
82,0.000053
105,0.000021
126,0.000013
83,0.000055
58,0.000128
78,0.000057
104,0.000025
100,0.000028
117,0.000024
372,0.000001
35,0.000462
135,0.000014
131,0.000008
298,0.000001
57,0.000147
150,0.000008
80,0.000067
138,0.000008
391,0.000001
54,0.000178
81,0.000074
153,0.000006
25,0.000888
61,0.000117
75,0.000071
243,0.000002
76,0.000071
142,0.000013
130,0.000013
47,0.000228
116,0.000016
51,0.000212
89,0.000041
113,0.000023
125,0.000011
108,0.000018
127,0.000018
160,0.000005
103,0.000036
165,0.000003
414,0.000001
77,0.000061
476,0.000001
139,0.000011
99,0.000026
151,0.000004
88,0.000042
145,0.000008
149,0.000009
46,0.000230
68,0.000101
157,0.000006
118,0.000013
112,0.000022
94,0.000033
136,0.000011
154,0.000006
98,0.000032
143,0.000008
115,0.000017
119,0.000016
124,0.000012
93,0.000033
137,0.000008
64,0.000104
110,0.000025
123,0.000013
