intersect,value
45,0.000000
49,0.000000
38,0.000000
55,0.000000
41,0.000000
40,0.000000
59,0.000000
67,0.000000
76,0.000000
42,0.000000
33,0.000000
36,0.000000
34,0.000000
54,0.000000
30,0.000000
35,0.000000
46,0.000000
39,0.000000
17,0.000003
13,0.000011
15,0.000005
10,0.000037
11,0.000022
14,0.000006
51,0.000000
9,0.000063
44,0.000000
22,0.000001
5,0.001439
1,0.903556
8,0.000124
4,0.004171
2,0.074993
3,0.014710
77,0.000000
6,0.000572
12,0.000015
7,0.000257
86,0.000000
20,0.000001
27,0.000001
26,0.000001
16,0.000004
21,0.000001
29,0.000000
32,0.000000
19,0.000002
18,0.000002
24,0.000001
37,0.000000
25,0.000000
31,0.000000
23,0.000001
28,0.000000
