pairdeg,value
135,0.000000
88,0.000000
86,0.000000
122,0.000000
120,0.000000
76,0.000000
115,0.000000
94,0.000000
83,0.000000
99,0.000000
134,0.000000
80,0.000000
136,0.000000
82,0.000000
97,0.000000
81,0.000001
66,0.000001
77,0.000000
133,0.000000
85,0.000001
96,0.000000
90,0.000000
60,0.000001
119,0.000000
84,0.000000
33,0.000016
34,0.000013
32,0.000016
30,0.000025
35,0.000012
31,0.000020
29,0.000028
28,0.000031
21,0.000082
22,0.000073
23,0.000061
26,0.000044
27,0.000033
24,0.000054
103,0.000000
25,0.000048
104,0.000000
20,0.000105
16,0.000220
95,0.000000
17,0.000166
18,0.000154
43,0.000005
6,0.004561
5,0.007664
171,0.000000
4,0.014716
3,0.033223
1,0.820869
2,0.107951
19,0.000120
174,0.000000
7,0.002950
8,0.001946
10,0.000989
14,0.000340
9,0.001372
11,0.000715
13,0.000430
12,0.000557
15,0.000261
41,0.000008
42,0.000008
36,0.000013
37,0.000008
38,0.000007
47,0.000004
39,0.000008
53,0.000002
68,0.000001
57,0.000002
56,0.000001
50,0.000003
58,0.000002
45,0.000005
40,0.000007
46,0.000005
48,0.000003
67,0.000001
70,0.000001
52,0.000002
55,0.000002
51,0.000002
54,0.000003
44,0.000005
73,0.000001
49,0.000003
71,0.000001
79,0.000000
64,0.000000
69,0.000002
65,0.000001
63,0.000002
78,0.000001
72,0.000001
75,0.000001
62,0.000001
74,0.000001
59,0.000001
61,0.000002
