degree,avg,min,max
1,1.214542,0.000000,5.883322
2,1.409653,0.000000,5.886104
3,1.522495,0.000000,5.886104
4,1.599879,0.000000,5.888878
5,1.656901,0.000000,5.888878
6,1.701590,0.000000,5.888878
7,1.738719,0.000000,5.891644
8,1.769329,0.000000,5.891644
9,1.794683,0.000000,5.894403
10,1.816733,0.000000,5.897154
11,1.836141,0.000000,5.897154
12,1.852469,0.000000,5.897154
13,1.867294,0.000000,5.899897
14,1.881004,0.000000,5.899897
15,1.893120,0.000000,5.899897
16,1.904127,0.000000,5.905362
17,1.914230,0.000000,5.905362
18,1.922990,0.000000,5.905362
19,1.931092,0.000000,5.908083
20,1.938949,0.000000,5.908083
21,1.946210,0.000000,5.910797
22,1.952847,0.000000,5.913503
23,1.959253,0.000000,5.913503
24,1.964892,0.000000,5.913503
25,1.970031,0.000000,5.913503
26,1.975016,0.000000,5.913503
27,1.979782,0.000000,5.913503
28,1.984476,0.000000,5.913503
29,1.988757,0.000000,5.913503
30,1.992479,0.000000,5.913503
31,1.995998,0.000000,5.924256
32,1.999529,0.000000,5.924256
33,2.002715,0.000000,5.926926
34,2.005660,0.000000,5.929589
35,2.008630,0.000000,5.929589
36,2.011321,0.000000,5.929589
37,2.013763,0.000000,5.929589
38,2.016210,0.000000,5.929589
39,2.018416,0.000000,5.929589
40,2.020697,0.000000,5.929589
41,2.022821,0.000000,5.929589
42,2.025098,0.000000,5.940171
43,2.026834,0.000000,5.940171
44,2.028650,0.000000,5.942799
45,2.030225,0.000000,5.942799
46,2.031783,0.000000,5.942799
47,2.033282,0.000000,5.945421
48,2.034724,0.000000,5.945421
49,2.036088,0.000000,5.945421
50,2.037717,0.000000,5.945421
51,2.039094,0.000000,5.950643
52,2.040405,0.000000,5.953243
53,2.041410,0.000000,5.953243
54,2.042579,0.000000,5.953243
55,2.043812,0.000000,5.955837
56,2.044852,0.000000,5.955837
57,2.045910,0.000000,5.958425
58,2.046830,0.000000,5.958425
59,2.047614,0.000000,5.958425
60,2.048525,0.000000,5.958425
61,2.049347,0.000000,5.963579
62,2.050059,0.000000,5.963579
63,2.050832,0.000000,5.963579
64,2.051612,0.000000,5.963579
65,2.052316,0.000000,5.963579
66,2.052897,0.000000,5.963579
67,2.053587,0.000000,5.963579
68,2.054274,0.000000,5.963579
69,2.054901,0.000000,5.963579
70,2.055491,0.000000,5.963579
71,2.056166,0.000000,5.963579
72,2.056633,0.000000,5.963579
73,2.057156,0.000000,5.963579
74,2.057544,0.000000,5.963579
75,2.057999,0.000000,5.963579
76,2.058431,0.000000,5.963579
77,2.058769,0.000000,5.963579
78,2.059172,0.000000,5.986452
79,2.059592,0.000000,5.986452
80,2.060048,0.000000,5.988961
81,2.060520,0.000000,5.988961
82,2.060906,0.000000,5.988961
83,2.061234,0.000000,5.988961
84,2.061599,0.000000,5.988961
85,2.061885,0.000000,5.988961
86,2.062206,0.000000,5.988961
87,2.062471,0.000000,5.988961
88,2.062754,0.000000,5.988961
89,2.063061,0.000000,5.988961
90,2.063348,0.000000,5.988961
91,2.063584,0.000000,5.988961
92,2.063830,0.000000,6.003887
93,2.064077,0.000000,6.003887
94,2.064262,0.000000,6.003887
95,2.064512,0.000000,6.003887
96,2.064751,0.000000,6.003887
97,2.065006,0.000000,6.003887
98,2.065184,0.000000,6.011267
99,2.065332,0.000000,6.011267
100,2.065519,0.000000,6.011267
101,2.065737,0.000000,6.011267
102,2.065930,0.000000,6.011267
103,2.066150,0.000000,6.011267
104,2.066300,0.000000,6.011267
105,2.066424,0.000000,6.011267
106,2.066581,0.000000,6.011267
107,2.066774,0.000000,6.011267
108,2.066930,0.000000,6.023448
109,2.067060,0.000000,6.023448
110,2.067222,0.000000,6.023448
111,2.067318,0.000000,6.023448
112,2.067399,0.000000,6.023448
113,2.067535,0.000000,6.023448
114,2.067696,0.000000,6.023448
115,2.067777,0.000000,6.023448
116,2.067870,0.000000,6.023448
117,2.068032,0.000000,6.023448
118,2.068112,0.000000,6.023448
119,2.068198,0.000000,6.023448
120,2.068332,0.000000,6.023448
121,2.068432,0.000000,6.023448
122,2.068501,0.000000,6.040255
123,2.068574,0.000000,6.040255
124,2.068633,0.000000,6.040255
125,2.068698,0.000000,6.040255
126,2.068794,0.000000,6.040255
127,2.068920,0.000000,6.040255
128,2.068977,0.000000,6.040255
129,2.069030,0.000000,6.040255
130,2.069106,0.000000,6.040255
131,2.069164,0.000000,6.040255
132,2.069196,0.000000,6.040255
133,2.069251,0.000000,6.040255
134,2.069301,0.000000,6.054439
135,2.069396,0.000000,6.054439
136,2.069468,0.000000,6.054439
137,2.069528,0.000000,6.054439
138,2.069560,0.000000,6.054439
139,2.069614,0.000000,6.054439
140,2.069658,0.000000,6.054439
141,2.069703,0.000000,6.054439
142,2.069752,0.000000,6.054439
143,2.069799,0.000000,6.054439
144,2.069836,0.000000,6.054439
145,2.069875,0.000000,6.054439
146,2.069886,0.000000,6.054439
147,2.069905,0.000000,6.054439
148,2.069931,0.000000,6.054439
149,2.069966,0.000000,6.070738
150,2.070005,0.000000,6.070738
151,2.070025,0.000000,6.070738
152,2.070063,0.000000,6.070738
153,2.070093,0.000000,6.070738
154,2.070126,0.000000,6.070738
155,2.070149,0.000000,6.070738
156,2.070182,0.000000,6.070738
157,2.070217,0.000000,6.070738
158,2.070226,0.000000,6.070738
159,2.070239,0.000000,6.070738
160,2.070256,0.000000,6.070738
161,2.070318,0.000000,6.070738
162,2.070354,0.000000,6.070738
163,2.070377,0.000000,6.070738
164,2.070403,0.000000,6.070738
165,2.070418,0.000000,6.070738
166,2.070426,0.000000,6.070738
167,2.070439,0.000000,6.070738
168,2.070481,0.000000,6.070738
169,2.070514,0.000000,6.070738
170,2.070556,0.000000,6.070738
171,2.070580,0.000000,6.070738
172,2.070600,0.000000,6.070738
173,2.070618,0.000000,6.070738
174,2.070629,0.000000,6.070738
175,2.070647,0.000000,6.070738
176,2.070663,0.000000,6.070738
177,2.070676,0.000000,6.070738
178,2.070681,0.000000,6.070738
179,2.070694,0.000000,6.070738
180,2.070704,0.000000,6.070738
181,2.070731,0.000000,6.070738
182,2.070736,0.000000,6.070738
183,2.070747,0.000000,6.070738
184,2.070760,0.000000,6.070738
185,2.070805,0.000000,6.070738
186,2.070825,0.000000,6.113682
187,2.070846,0.000000,6.113682
188,2.070854,0.000000,6.113682
189,2.070865,0.000000,6.113682
190,2.070881,0.000000,6.113682
191,2.070901,0.000000,6.118097
192,2.070904,0.000000,6.118097
193,2.070909,0.000000,6.118097
194,2.070912,0.000000,6.118097
195,2.070936,0.000000,6.118097
196,2.070947,0.000000,6.118097
197,2.070961,0.000000,6.118097
198,2.070974,0.000000,6.118097
199,2.070996,0.000000,6.118097
200,2.070999,0.000000,6.118097
201,2.071002,0.000000,6.118097
202,2.071004,0.000000,6.118097
203,2.071018,0.000000,6.118097
204,2.071023,0.000000,6.118097
205,2.071029,0.000000,6.118097
206,2.071040,0.000000,6.118097
207,2.071042,0.000000,6.118097
209,2.071056,0.000000,6.118097
210,2.071070,0.000000,6.118097
