phi_avg,num
329,2
392,1
296,1
426,1
291,2
336,1
400,1
354,1
398,1
302,1
294,2
337,1
328,1
362,2
358,1
308,1
374,1
431,1
463,1
287,4
472,1
286,1
381,2
304,2
399,2
303,1
408,1
273,5
357,2
356,2
277,5
350,1
368,1
405,1
335,1
375,1
342,1
256,8
309,1
363,2
380,1
321,4
395,1
361,2
276,4
370,5
299,1
452,1
288,3
332,3
325,3
386,1
340,1
305,1
383,1
384,1
382,1
322,1
152,106
126,265
133,220
119,339
155,87
151,125
121,327
118,361
112,448
161,93
115,405
162,88
125,271
77,1646
414,1
102,658
132,214
91,1037
159,82
137,196
143,161
122,314
82,1389
107,575
57,3525
90,1055
116,409
79,1636
85,1196
74,1807
149,112
89,1070
129,248
101,645
110,475
66,2630
100,744
140,140
75,1848
156,78
243,14
76,1760
413,2
84,1298
93,974
95,820
261,6
94,916
67,2408
105,594
109,555
124,293
145,134
136,204
96,829
433,2
147,130
131,202
298,2
41,6481
59,3268
120,354
62,2959
99,732
114,423
106,586
78,1558
68,2389
61,3123
250,12
83,1411
420,2
47,4986
36,7704
63,2962
64,2781
86,1276
20,14838
9,27581
88,1148
195,42
28,10552
365,1
181,49
14,19721
351,1
16,17665
353,2
21,14082
104,572
25,11732
197,33
30,9907
367,4
24,12529
103,667
15,18490
182,32
26,11540
108,521
196,30
29,10471
34,8206
113,451
198,24
31,9360
10,25585
347,3
18,16006
97,774
169,65
2,100062
339,1
81,1485
19,15265
98,733
435,1
13,20405
92,1033
87,1164
175,48
345,3
209,17
42,6296
379,1
5,43445
17,16916
40,6621
377,2
170,72
3,66789
7,33218
344,3
4,52512
341,6
168,61
1,229159
338,2
80,1546
38,7086
117,390
454,1
11,23659
348,1
6,36964
43,5876
8,29696
717,1
32,9054
369,3
111,421
12,21858
349,1
22,13562
359,4
33,8541
27,10991
364,6
23,13193
360,5
58,3464
130,266
51,4483
70,2175
69,2261
135,209
56,3703
52,4238
389,1
46,5298
216,22
49,4765
54,4011
391,1
45,5576
37,7473
60,3237
397,1
157,82
35,7912
372,2
215,9
48,4825
385,1
71,2173
39,6980
376,2
55,3809
72,2035
53,4052
211,16
44,5699
73,1994
65,2545
217,12
50,4544
387,3
134,180
185,52
128,266
285,4
158,69
333,1
212,22
139,170
476,1
234,11
123,276
191,44
171,47
188,34
257,8
127,232
172,55
274,8
301,3
150,131
267,7
187,42
173,69
144,134
141,143
179,47
246,13
214,14
174,67
199,28
164,70
153,108
323,3
186,37
142,116
270,5
204,18
238,12
210,12
194,28
293,5
227,13
176,54
224,14
239,23
183,32
189,34
225,10
200,20
180,46
206,29
138,175
280,10
307,2
154,93
205,20
166,58
203,20
167,58
264,6
252,4
258,6
177,57
278,4
163,67
268,7
231,9
235,9
146,127
190,45
240,20
148,139
207,21
165,52
221,19
184,43
265,5
230,20
178,54
627,1
290,2
201,34
242,12
226,11
220,15
218,20
202,25
160,78
330,2
193,34
271,5
282,4
219,18
233,17
254,8
236,10
259,12
213,16
283,3
192,32
223,14
244,15
281,2
253,4
284,3
272,2
263,9
316,11
255,15
262,3
320,7
295,3
326,3
222,14
318,6
232,9
315,17
241,9
228,18
208,16
229,12
251,10
317,5
245,14
324,6
237,7
289,2
248,14
269,2
279,3
313,3
319,3
314,10
249,12
247,12
275,2
260,6
327,2
266,2
