degree,avg,min,max
1,1.693621,0.000000,6.575076
2,1.902653,0.000000,6.575076
3,2.020545,0.000000,6.575076
4,2.099906,0.000000,6.575076
5,2.157508,0.000000,6.575076
6,2.202351,0.000000,6.575076
7,2.239313,0.000000,6.575076
8,2.269600,0.000000,6.575076
9,2.294478,0.000000,6.575076
10,2.315935,0.000000,6.575076
11,2.334788,0.000000,6.575076
12,2.350540,0.000000,6.575076
13,2.364740,0.000000,6.575076
14,2.377833,0.000000,6.575076
15,2.389368,0.000000,6.575076
16,2.399821,0.000000,6.575076
17,2.409330,0.000000,6.575076
18,2.417543,0.000000,6.575076
19,2.425119,0.000000,6.575076
20,2.432506,0.000000,6.575076
21,2.439240,0.000000,6.575076
22,2.445421,0.000000,6.575076
23,2.451338,0.000000,6.575076
24,2.456568,0.000000,6.575076
25,2.461267,0.000000,6.575076
26,2.465844,0.000000,6.575076
27,2.470186,0.000000,6.575076
28,2.474499,0.000000,6.575076
29,2.478405,0.000000,6.575076
30,2.481785,0.000000,6.575076
31,2.484980,0.000000,6.575076
32,2.488193,0.000000,6.575076
33,2.491083,0.000000,6.575076
34,2.493738,0.000000,6.575076
35,2.496430,0.000000,6.575076
36,2.498850,0.000000,6.575076
37,2.501052,0.000000,6.575076
38,2.503242,0.000000,6.575076
39,2.505225,0.000000,6.575076
40,2.507285,0.000000,6.575076
41,2.509197,0.000000,6.575076
42,2.511240,0.000000,6.575076
43,2.512779,0.000000,6.575076
44,2.514411,0.000000,6.575076
45,2.515814,0.000000,6.575076
46,2.517203,0.000000,6.575076
47,2.518546,0.000000,6.575076
48,2.519837,0.000000,6.575076
49,2.521048,0.000000,6.575076
50,2.522502,0.000000,6.575076
51,2.523722,0.000000,6.575076
52,2.524887,0.000000,6.575076
53,2.525774,0.000000,6.575076
54,2.526800,0.000000,6.575076
55,2.527895,0.000000,6.575076
56,2.528813,0.000000,6.575076
57,2.529751,0.000000,6.575076
58,2.530564,0.000000,6.575076
59,2.531254,0.000000,6.575076
60,2.532057,0.000000,6.575076
61,2.532787,0.000000,6.575076
62,2.533418,0.000000,6.575076
63,2.534098,0.000000,6.575076
64,2.534790,0.000000,6.575076
65,2.535412,0.000000,6.575076
66,2.535919,0.000000,6.575076
67,2.536527,0.000000,6.575076
68,2.537136,0.000000,6.575076
69,2.537681,0.000000,6.575076
70,2.538203,0.000000,6.575076
71,2.538800,0.000000,6.575076
72,2.539206,0.000000,6.575076
73,2.539660,0.000000,6.575076
74,2.539995,0.000000,6.575076
75,2.540392,0.000000,6.575076
76,2.540770,0.000000,6.575076
77,2.541061,0.000000,6.575076
78,2.541414,0.000000,6.575076
79,2.541780,0.000000,6.575076
80,2.542180,0.000000,6.575076
81,2.542589,0.000000,6.575076
82,2.542929,0.000000,6.575076
83,2.543213,0.000000,6.575076
84,2.543533,0.000000,6.575076
85,2.543780,0.000000,6.575076
86,2.544062,0.000000,6.575076
87,2.544296,0.000000,6.575076
88,2.544546,0.000000,6.575076
89,2.544815,0.000000,6.575076
90,2.545061,0.000000,6.575076
91,2.545271,0.000000,6.575076
92,2.545488,0.000000,6.575076
93,2.545704,0.000000,6.575076
94,2.545865,0.000000,6.575076
95,2.546083,0.000000,6.575076
96,2.546291,0.000000,6.575076
97,2.546515,0.000000,6.575076
98,2.546671,0.000000,6.575076
99,2.546801,0.000000,6.575076
100,2.546963,0.000000,6.575076
101,2.547149,0.000000,6.575076
102,2.547318,0.000000,6.575076
103,2.547507,0.000000,6.575076
104,2.547639,0.000000,6.575076
105,2.547747,0.000000,6.575076
106,2.547882,0.000000,6.575076
107,2.548050,0.000000,6.575076
108,2.548185,0.000000,6.575076
109,2.548297,0.000000,6.575076
110,2.548440,0.000000,6.575076
111,2.548523,0.000000,6.575076
112,2.548592,0.000000,6.575076
113,2.548710,0.000000,6.575076
114,2.548851,0.000000,6.575076
115,2.548920,0.000000,6.575076
116,2.549001,0.000000,6.575076
117,2.549144,0.000000,6.575076
118,2.549213,0.000000,6.575076
119,2.549288,0.000000,6.575076
120,2.549403,0.000000,6.575076
121,2.549493,0.000000,6.575076
122,2.549553,0.000000,6.575076
123,2.549616,0.000000,6.575076
124,2.549668,0.000000,6.575076
125,2.549723,0.000000,6.575076
126,2.549807,0.000000,6.575076
127,2.549917,0.000000,6.575076
128,2.549966,0.000000,6.575076
129,2.550012,0.000000,6.575076
130,2.550078,0.000000,6.575076
131,2.550129,0.000000,6.575076
132,2.550156,0.000000,6.575076
133,2.550204,0.000000,6.575076
134,2.550248,0.000000,6.575076
135,2.550331,0.000000,6.575076
136,2.550395,0.000000,6.575076
137,2.550447,0.000000,6.575076
138,2.550475,0.000000,6.575076
139,2.550522,0.000000,6.575076
140,2.550560,0.000000,6.575076
141,2.550599,0.000000,6.575076
142,2.550640,0.000000,6.575076
143,2.550681,0.000000,6.575076
144,2.550713,0.000000,6.575076
145,2.550746,0.000000,6.575076
146,2.550755,0.000000,6.575076
147,2.550772,0.000000,6.575076
148,2.550794,0.000000,6.575076
149,2.550826,0.000000,6.575076
150,2.550859,0.000000,6.575076
151,2.550876,0.000000,6.575076
152,2.550910,0.000000,6.575076
153,2.550936,0.000000,6.575076
154,2.550964,0.000000,6.575076
155,2.550983,0.000000,6.575076
156,2.551012,0.000000,6.575076
157,2.551043,0.000000,6.575076
158,2.551050,0.000000,6.575076
159,2.551062,0.000000,6.575076
160,2.551077,0.000000,6.575076
161,2.551131,0.000000,6.575076
162,2.551162,0.000000,6.575076
163,2.551182,0.000000,6.575076
164,2.551204,0.000000,6.575076
165,2.551217,0.000000,6.575076
166,2.551223,0.000000,6.575076
167,2.551234,0.000000,6.575076
168,2.551271,0.000000,6.575076
169,2.551300,0.000000,6.575076
170,2.551336,0.000000,6.575076
171,2.551356,0.000000,6.575076
172,2.551374,0.000000,6.575076
173,2.551390,0.000000,6.575076
174,2.551399,0.000000,6.575076
175,2.551415,0.000000,6.575076
176,2.551428,0.000000,6.575076
177,2.551439,0.000000,6.575076
178,2.551444,0.000000,6.575076
179,2.551455,0.000000,6.575076
180,2.551464,0.000000,6.575076
181,2.551486,0.000000,6.575076
182,2.551490,0.000000,6.575076
183,2.551500,0.000000,6.575076
184,2.551511,0.000000,6.575076
185,2.551550,0.000000,6.575076
186,2.551568,0.000000,6.575076
187,2.551587,0.000000,6.575076
188,2.551594,0.000000,6.575076
189,2.551603,0.000000,6.575076
190,2.551617,0.000000,6.575076
191,2.551636,0.000000,6.575076
192,2.551638,0.000000,6.575076
193,2.551643,0.000000,6.575076
194,2.551645,0.000000,6.575076
195,2.551666,0.000000,6.575076
196,2.551675,0.000000,6.575076
197,2.551687,0.000000,6.575076
198,2.551699,0.000000,6.575076
199,2.551718,0.000000,6.575076
200,2.551720,0.000000,6.575076
201,2.551723,0.000000,6.575076
202,2.551725,0.000000,6.575076
203,2.551737,0.000000,6.575076
204,2.551741,0.000000,6.575076
205,2.551746,0.000000,6.575076
206,2.551755,0.000000,6.575076
207,2.551757,0.000000,6.575076
209,2.551769,0.000000,6.575076
210,2.551782,0.000000,6.575076
211,2.551784,0.000000,6.575076
212,2.551797,0.000000,6.575076
213,2.551799,0.000000,6.575076
214,2.551806,0.000000,6.575076
215,2.551813,0.000000,6.575076
216,2.551830,0.000000,6.575076
217,2.551840,0.000000,6.575076
218,2.551851,0.000000,6.575076
219,2.551856,0.000000,6.575076
220,2.551861,0.000000,6.575076
221,2.551868,0.000000,6.575076
223,2.551870,0.000000,6.575076
224,2.551880,0.000000,6.575076
225,2.551885,0.000000,6.575076
226,2.551889,0.000000,6.575076
227,2.551895,0.000000,6.575076
230,2.551903,0.000000,6.575076
231,2.551907,0.000000,6.575076
233,2.551910,0.000000,6.575076
234,2.551912,0.000000,6.575076
235,2.551923,0.000000,6.575076
236,2.551925,0.000000,6.575076
238,2.551931,0.000000,6.575076
239,2.551933,0.000000,6.575076
240,2.551938,0.000000,6.575076
242,2.551943,0.000000,6.575076
243,2.551957,0.000000,6.575076
244,2.551959,0.000000,6.575076
246,2.551964,0.000000,6.575076
250,2.551966,0.000000,6.575076
252,2.551974,0.000000,6.575076
253,2.551977,0.000000,6.575076
254,2.551989,0.000000,6.575076
257,2.551999,0.000000,6.575076
258,2.552008,0.000000,6.575076
259,2.552010,0.000000,6.575076
261,2.552013,0.000000,6.575076
263,2.552013,0.000000,6.575076
264,2.552015,0.000000,6.575076
265,2.552018,0.000000,6.575076
267,2.552028,0.000000,6.575076
268,2.552031,0.000000,6.575076
270,2.552033,0.000000,6.575076
271,2.552038,0.000000,6.575076
272,2.552038,0.000000,6.575076
274,2.552041,0.000000,6.575076
278,2.552051,0.000000,6.575076
280,2.552057,0.000000,6.575076
281,2.552059,0.000000,6.575076
282,2.552062,0.000000,6.575076
283,2.552064,0.000000,6.575076
284,2.552064,0.000000,6.575076
285,2.552069,0.000000,6.575076
293,2.552075,0.000000,6.575076
298,2.552084,0.000000,6.575076
301,2.552086,0.000000,6.575076
307,2.552089,0.000000,6.575076
323,2.552094,0.000000,6.575076
330,2.552097,0.000000,6.575076
333,2.552100,0.000000,6.575076
345,2.552102,0.000000,6.575076
347,2.552108,0.000000,6.575076
349,2.552111,0.000000,6.575076
351,2.552113,0.000000,6.575076
367,2.552116,0.000000,6.575076
372,2.552119,0.000000,6.575076
391,2.552122,0.000000,6.575076
397,2.552125,0.000000,6.575076
414,2.552127,0.000000,6.575076
476,2.552130,0.000000,6.575076
627,2.552134,0.000000,6.575076
