phi_max,num
263,211
272,271
284,278
253,252
281,110
244,105
223,174
192,365
283,208
213,321
259,251
236,232
254,672
233,208
219,427
282,278
271,529
193,350
330,330
160,734
202,200
218,549
220,417
226,660
242,191
201,373
627,627
178,313
230,373
265,264
184,635
221,265
165,538
207,183
148,819
240,477
190,684
146,451
235,77
231,222
268,263
163,917
278,675
177,480
258,226
252,164
264,264
167,564
203,441
166,554
205,569
154,967
307,283
280,545
138,1016
206,853
180,447
200,389
225,213
189,719
183,316
239,235
224,793
176,602
227,224
293,175
194,192
210,273
238,165
204,177
270,248
142,1740
186,464
323,646
153,849
164,1115
199,1029
174,274
214,391
246,387
179,688
141,1189
144,860
173,605
187,726
267,497
150,1009
301,543
274,274
172,725
127,2068
257,553
188,396
171,1097
191,244
123,1438
234,220
476,446
139,1441
212,325
333,309
158,301
285,540
128,989
185,1351
134,819
50,5883
217,778
65,3908
73,3776
44,5842
211,207
53,4576
72,3324
55,5126
39,6593
71,3919
48,5204
215,369
372,365
35,7686
157,988
397,397
60,4968
37,7508
45,5632
391,391
54,5756
49,5470
216,783
46,5460
52,5190
56,5150
135,1621
69,4149
70,3673
51,5896
130,1581
58,4405
23,10258
27,9317
33,7988
22,10191
349,326
12,15337
111,1734
32,7772
717,717
43,6000
6,26925
11,16944
117,2410
38,7358
80,3560
1,215299
168,1103
4,38282
7,24588
3,48992
170,1215
40,6552
17,12616
5,32146
42,6748
209,819
345,345
8,21930
175,724
87,2718
92,2219
13,15154
98,2418
19,11228
81,4112
2,73589
169,741
97,2433
18,11900
347,338
10,18210
31,8068
198,671
113,2030
34,7747
29,9292
196,700
108,1428
26,9530
182,287
15,13647
103,3120
24,9233
367,367
30,8053
197,628
25,9352
104,2106
21,11486
16,12859
351,333
14,14705
181,1022
28,9350
195,904
88,2674
9,20012
20,11105
86,3060
64,4005
63,4625
36,7485
47,5700
83,3313
250,194
61,4369
68,4253
78,3205
106,2621
114,1650
99,2120
62,3937
120,1984
59,4108
41,6794
298,169
131,888
147,668
96,2573
136,1217
145,1047
124,1323
109,2622
105,1687
67,4217
94,2241
261,254
95,2701
93,2104
84,3033
76,3850
243,628
156,597
75,3468
140,1339
100,1881
66,3642
110,2370
101,2147
129,1391
89,2664
149,1246
74,3173
85,3175
79,3248
116,1574
90,2969
57,4908
107,2372
82,2894
122,1420
143,1057
137,987
159,651
91,2351
132,586
102,1704
414,414
77,3277
125,1246
162,1180
115,1521
161,1406
112,2313
118,1264
121,1254
151,608
155,866
119,1487
133,1567
126,1458
152,724
