degree,avg,min,max
1,0.000000,0.000000,0.000000
2,0.157363,0.000000,0.693147
3,0.263420,0.000000,1.098612
4,0.342615,0.000000,1.386294
5,0.404527,0.000000,1.609438
6,0.454433,0.000000,1.791759
7,0.496939,0.000000,1.945910
8,0.532785,0.000000,2.079442
9,0.563304,0.000000,2.197225
10,0.590310,0.000000,2.302585
11,0.614153,0.000000,2.397895
12,0.634534,0.000000,2.484907
13,0.653282,0.000000,2.564949
14,0.670813,0.000000,2.639057
15,0.686361,0.000000,2.708050
16,0.700464,0.000000,2.772589
17,0.713625,0.000000,2.833213
18,0.725130,0.000000,2.890372
19,0.735821,0.000000,2.944439
20,0.746045,0.000000,2.995732
21,0.755700,0.000000,3.044522
22,0.764470,0.000000,3.091042
23,0.773054,0.000000,3.135494
24,0.780492,0.000000,3.178054
25,0.787478,0.000000,3.218876
26,0.794175,0.000000,3.258097
27,0.800657,0.000000,3.295837
28,0.806951,0.000000,3.332205
29,0.812739,0.000000,3.367296
30,0.817796,0.000000,3.401197
31,0.822567,0.000000,3.433987
32,0.827377,0.000000,3.465736
33,0.831705,0.000000,3.496508
34,0.835724,0.000000,3.526361
35,0.839741,0.000000,3.555348
36,0.843397,0.000000,3.583519
37,0.846711,0.000000,3.610918
38,0.850065,0.000000,3.637586
39,0.853070,0.000000,3.663562
40,0.856156,0.000000,3.688879
41,0.859039,0.000000,3.713572
42,0.862134,0.000000,3.737670
43,0.864531,0.000000,3.761200
44,0.867003,0.000000,3.784190
45,0.869158,0.000000,3.806662
46,0.871295,0.000000,3.828641
47,0.873340,0.000000,3.850148
48,0.875302,0.000000,3.871201
49,0.877172,0.000000,3.891820
50,0.879393,0.000000,3.912023
51,0.881275,0.000000,3.931826
52,0.883063,0.000000,3.951244
53,0.884448,0.000000,3.970292
54,0.886064,0.000000,3.988984
55,0.887743,0.000000,4.007333
56,0.889177,0.000000,4.025352
57,0.890621,0.000000,4.043051
58,0.891886,0.000000,4.060443
59,0.892964,0.000000,4.077537
60,0.894213,0.000000,4.094345
61,0.895331,0.000000,4.110874
62,0.896299,0.000000,4.127134
63,0.897356,0.000000,4.143135
64,0.898423,0.000000,4.158883
65,0.899384,0.000000,4.174387
66,0.900184,0.000000,4.189655
67,0.901129,0.000000,4.204693
68,0.902066,0.000000,4.219508
69,0.902934,0.000000,4.234107
70,0.903742,0.000000,4.248495
71,0.904656,0.000000,4.262680
72,0.905300,0.000000,4.276666
73,0.906029,0.000000,4.290459
74,0.906568,0.000000,4.304065
75,0.907194,0.000000,4.317488
76,0.907790,0.000000,4.330733
77,0.908257,0.000000,4.343805
78,0.908810,0.000000,4.356709
79,0.909387,0.000000,4.369448
80,0.910009,0.000000,4.382027
81,0.910659,0.000000,4.394449
82,0.911184,0.000000,4.406719
83,0.911634,0.000000,4.418841
84,0.912129,0.000000,4.430817
85,0.912523,0.000000,4.442651
86,0.912960,0.000000,4.454347
87,0.913318,0.000000,4.465908
88,0.913697,0.000000,4.477337
89,0.914114,0.000000,4.488636
90,0.914508,0.000000,4.499810
91,0.914825,0.000000,4.510860
92,0.915156,0.000000,4.521789
93,0.915493,0.000000,4.532599
94,0.915746,0.000000,4.543295
95,0.916089,0.000000,4.553877
96,0.916413,0.000000,4.564348
97,0.916757,0.000000,4.574711
98,0.916998,0.000000,4.584967
99,0.917197,0.000000,4.595120
100,0.917452,0.000000,4.605170
101,0.917753,0.000000,4.615121
102,0.918015,0.000000,4.624973
103,0.918318,0.000000,4.634729
104,0.918520,0.000000,4.644391
105,0.918687,0.000000,4.653960
106,0.918905,0.000000,4.663439
107,0.919167,0.000000,4.672829
108,0.919377,0.000000,4.682131
109,0.919556,0.000000,4.691348
110,0.919773,0.000000,4.700480
111,0.919902,0.000000,4.709530
112,0.920015,0.000000,4.718499
113,0.920199,0.000000,4.727388
114,0.920415,0.000000,4.736198
115,0.920526,0.000000,4.744932
116,0.920653,0.000000,4.753590
117,0.920870,0.000000,4.762174
118,0.920979,0.000000,4.770685
119,0.921095,0.000000,4.779123
120,0.921278,0.000000,4.787492
121,0.921410,0.000000,4.795791
122,0.921503,0.000000,4.804021
123,0.921600,0.000000,4.812184
124,0.921681,0.000000,4.820282
125,0.921769,0.000000,4.828314
126,0.921899,0.000000,4.836282
127,0.922068,0.000000,4.844187
128,0.922147,0.000000,4.852030
129,0.922219,0.000000,4.859812
130,0.922320,0.000000,4.867534
131,0.922399,0.000000,4.875197
132,0.922442,0.000000,4.882802
133,0.922518,0.000000,4.890349
134,0.922580,0.000000,4.897840
135,0.922709,0.000000,4.905275
136,0.922805,0.000000,4.912655
137,0.922885,0.000000,4.919981
138,0.922928,0.000000,4.927254
139,0.923002,0.000000,4.934474
140,0.923062,0.000000,4.941642
141,0.923122,0.000000,4.948760
142,0.923189,0.000000,4.955827
143,0.923253,0.000000,4.962845
144,0.923303,0.000000,4.969813
145,0.923357,0.000000,4.976734
146,0.923370,0.000000,4.983607
147,0.923397,0.000000,4.990433
148,0.923431,0.000000,4.997212
149,0.923479,0.000000,5.003946
150,0.923530,0.000000,5.010635
151,0.923557,0.000000,5.017280
152,0.923608,0.000000,5.023881
153,0.923649,0.000000,5.030438
154,0.923693,0.000000,5.036953
155,0.923724,0.000000,5.043425
156,0.923769,0.000000,5.049856
157,0.923817,0.000000,5.056246
158,0.923827,0.000000,5.062595
159,0.923844,0.000000,5.068904
160,0.923868,0.000000,5.075174
161,0.923951,0.000000,5.081404
162,0.924000,0.000000,5.087596
163,0.924031,0.000000,5.093750
164,0.924065,0.000000,5.099866
165,0.924086,0.000000,5.105945
166,0.924097,0.000000,5.111988
167,0.924114,0.000000,5.117994
168,0.924170,0.000000,5.123964
169,0.924215,0.000000,5.129899
170,0.924271,0.000000,5.135798
171,0.924303,0.000000,5.141664
172,0.924331,0.000000,5.147494
173,0.924355,0.000000,5.153292
174,0.924369,0.000000,5.159055
175,0.924394,0.000000,5.164786
176,0.924415,0.000000,5.170484
177,0.924433,0.000000,5.176150
178,0.924440,0.000000,5.181784
179,0.924458,0.000000,5.187386
180,0.924472,0.000000,5.192957
181,0.924507,0.000000,5.198497
182,0.924514,0.000000,5.204007
183,0.924529,0.000000,5.209486
184,0.924546,0.000000,5.214936
185,0.924607,0.000000,5.220356
186,0.924632,0.000000,5.225747
187,0.924661,0.000000,5.231109
188,0.924671,0.000000,5.236442
189,0.924686,0.000000,5.241747
190,0.924707,0.000000,5.247024
191,0.924732,0.000000,5.252273
192,0.924736,0.000000,5.257495
193,0.924743,0.000000,5.262690
194,0.924747,0.000000,5.267858
195,0.924779,0.000000,5.273000
196,0.924794,0.000000,5.278115
197,0.924812,0.000000,5.283204
198,0.924830,0.000000,5.288267
199,0.924859,0.000000,5.293305
200,0.924863,0.000000,5.298317
201,0.924866,0.000000,5.303305
202,0.924870,0.000000,5.308268
203,0.924888,0.000000,5.313206
204,0.924895,0.000000,5.318120
205,0.924903,0.000000,5.323010
206,0.924917,0.000000,5.327876
207,0.924921,0.000000,5.332719
209,0.924939,0.000000,5.342334
210,0.924958,0.000000,5.347108
211,0.924961,0.000000,5.351858
212,0.924980,0.000000,5.356586
213,0.924983,0.000000,5.361292
214,0.924994,0.000000,5.365976
215,0.925006,0.000000,5.370638
216,0.925031,0.000000,5.375278
217,0.925046,0.000000,5.379897
218,0.925065,0.000000,5.384495
219,0.925072,0.000000,5.389072
220,0.925080,0.000000,5.393628
221,0.925091,0.000000,5.398163
223,0.925094,0.000000,5.407172
224,0.925109,0.000000,5.411646
225,0.925117,0.000000,5.416100
226,0.925124,0.000000,5.420535
227,0.925132,0.000000,5.424950
230,0.925143,0.000000,5.438079
231,0.925150,0.000000,5.442418
233,0.925154,0.000000,5.451038
234,0.925158,0.000000,5.455321
235,0.925173,0.000000,5.459586
236,0.925177,0.000000,5.463832
238,0.925184,0.000000,5.472271
239,0.925188,0.000000,5.476464
240,0.925196,0.000000,5.480639
242,0.925203,0.000000,5.488938
243,0.925222,0.000000,5.493061
244,0.925226,0.000000,5.497168
246,0.925234,0.000000,5.505332
250,0.925237,0.000000,5.521461
252,0.925249,0.000000,5.529429
253,0.925253,0.000000,5.533389
254,0.925272,0.000000,5.537334
257,0.925287,0.000000,5.549076
258,0.925299,0.000000,5.552960
259,0.925303,0.000000,5.556828
261,0.925306,0.000000,5.564520
263,0.925306,0.000000,5.564520
264,0.925310,0.000000,5.575949
265,0.925314,0.000000,5.579730
267,0.925330,0.000000,5.587249
268,0.925334,0.000000,5.590987
270,0.925337,0.000000,5.598422
271,0.925345,0.000000,5.602119
272,0.925345,0.000000,5.602119
274,0.925349,0.000000,5.613128
278,0.925365,0.000000,5.627621
280,0.925372,0.000000,5.634790
281,0.925376,0.000000,5.638355
282,0.925380,0.000000,5.641907
283,0.925384,0.000000,5.645447
284,0.925384,0.000000,5.645447
285,0.925392,0.000000,5.652489
293,0.925400,0.000000,5.680173
298,0.925412,0.000000,5.697093
301,0.925416,0.000000,5.707110
307,0.925420,0.000000,5.726848
323,0.925428,0.000000,5.777652
330,0.925432,0.000000,5.799093
333,0.925436,0.000000,5.808142
345,0.925440,0.000000,5.843544
347,0.925448,0.000000,5.849325
349,0.925452,0.000000,5.855072
351,0.925456,0.000000,5.860786
367,0.925461,0.000000,5.905362
372,0.925465,0.000000,5.918894
391,0.925469,0.000000,5.968708
397,0.925473,0.000000,5.983936
414,0.925477,0.000000,6.025866
476,0.925482,0.000000,6.165418
627,0.925486,0.000000,6.440947
