phi_min,num
253,1
281,1
244,1
223,1
192,1
283,1
213,1
259,1
236,1
254,5
233,1
219,2
282,1
271,2
193,2
330,1
160,7
202,1
218,5
220,2
226,2
242,2
201,1
627,1
178,2
230,3
265,1
184,5
221,3
165,6
207,1
148,10
240,2
190,6
146,4
235,4
231,2
268,1
163,9
278,4
177,5
258,3
252,3
264,1
167,5
203,5
166,3
205,2
154,13
307,1
280,2
138,13
206,4
180,4
200,1
225,2
189,4
183,4
239,1
224,4
176,6
227,2
293,2
194,1
210,5
238,2
204,2
270,1
142,20
186,7
323,2
153,12
164,10
199,8
174,4
214,3
246,2
179,5
141,18
144,15
173,7
187,8
267,4
150,15
301,1
274,1
172,8
127,52
257,4
188,3
171,9
191,7
123,30
234,1
476,1
139,22
212,5
333,1
158,3
285,2
128,24
185,17
134,19
50,870
217,4
65,351
73,258
44,1002
211,1
53,534
72,229
55,641
39,1258
71,326
48,777
215,3
372,1
35,1731
157,14
397,1
60,466
37,1407
45,868
391,1
54,620
49,736
216,7
46,856
52,693
56,545
135,39
69,312
70,289
51,733
130,31
58,476
23,4134
27,2992
33,1895
22,4272
349,1
12,11650
111,41
32,2123
717,1
43,978
6,34456
11,13952
117,68
38,1414
80,215
1,559854
168,16
4,61938
7,28097
3,91974
170,16
40,1283
17,6863
5,45125
42,1270
209,5
345,1
8,22849
175,7
87,121
92,110
13,10488
98,79
19,5412
81,224
2,164432
169,13
97,113
18,5910
347,2
10,16207
31,2124
198,5
113,58
34,1746
29,2623
196,4
108,67
26,3122
182,2
15,8379
103,98
24,3542
367,1
30,2271
197,5
25,3291
104,65
21,4761
16,7472
351,1
14,9618
181,10
28,2878
195,9
88,128
9,18841
20,5106
86,148
64,391
63,389
36,1564
47,814
83,154
250,1
61,415
68,338
78,192
106,70
114,68
99,65
62,358
120,57
59,404
41,1191
298,3
131,24
147,8
96,107
136,29
145,16
124,25
109,57
105,54
67,342
94,84
261,1
95,113
93,112
84,169
76,209
243,5
156,13
75,220
140,18
100,83
66,291
110,69
101,98
129,22
89,140
149,14
74,190
85,134
79,200
116,40
90,132
57,546
107,84
82,180
122,29
143,19
137,24
159,5
91,106
132,13
102,85
414,1
77,163
125,27
162,14
115,35
161,24
112,36
118,34
121,41
151,8
155,9
119,36
133,23
126,40
152,15
