size,value
79,0.000001
103,0.000001
141,0.000001
84,0.000001
56,0.000001
82,0.000001
99,0.000001
136,0.000001
100,0.000002
70,0.000002
81,0.000001
35,0.000026
28,0.000076
69,0.000002
29,0.000061
108,0.000001
34,0.000029
25,0.000090
24,0.000107
20,0.000204
22,0.000146
27,0.000066
15,0.000740
94,0.000001
23,0.000120
30,0.000055
19,0.000276
18,0.000349
33,0.000017
12,0.002410
42,0.000015
5,0.082294
6,0.048971
4,0.132405
21,0.000146
40,0.000010
3,0.189217
1,0.245188
80,0.000001
39,0.000013
2,0.228883
8,0.016709
10,0.006209
89,0.000001
7,0.027975
86,0.000001
17,0.000405
9,0.009753
13,0.001488
92,0.000001
16,0.000603
14,0.001107
11,0.003534
90,0.000001
46,0.000005
31,0.000032
134,0.000001
55,0.000005
38,0.000014
284,0.000001
117,0.000001
26,0.000085
43,0.000002
32,0.000028
49,0.000004
54,0.000002
52,0.000005
36,0.000022
58,0.000002
59,0.000002
65,0.000001
37,0.000013
60,0.000002
44,0.000007
62,0.000001
41,0.000012
48,0.000004
78,0.000002
51,0.000002
76,0.000002
71,0.000002
77,0.000002
61,0.000003
45,0.000002
64,0.000003
47,0.000005
57,0.000001
53,0.000004
50,0.000002
63,0.000001
