size_wcc,num_nodes
903973,1261129
904118,1261129
904214,1261129
904310,1261129
904378,1261129
904445,1261129
904507,1261129
904559,1261129
904609,1261129
904658,1261129
904706,1261129
904753,1261129
904799,1261129
904844,1261129
904887,1261129
904930,1261129
904972,1261129
905012,1261129
905052,1261129
905090,1261129
905127,1261129
905164,1261129
905201,1261129
905237,1261129
905272,1261129
905306,1261129
905339,1261129
905372,1261129
905405,1261129
905437,1261129
905469,1261129
905500,1261129
905531,1261129
905559,1261129
905587,1261129
905615,1261129
905643,1261129
905670,1261129
905697,1261129
905724,1261129
905750,1261129
905776,1261129
905802,1261129
905828,1261129
905853,1261129
905878,1261129
905903,1261129
905928,1261129
905953,1261129
905978,1261129
906003,1261129
906027,1261129
906051,1261129
906075,1261129
906099,1261129
906123,1261129
906147,1261129
906170,1261129
906193,1261129
906216,1261129
906239,1261129
906262,1261129
906284,1261129
906306,1261129
906328,1261129
906350,1261129
906372,1261129
906394,1261129
906416,1261129
906437,1261129
906458,1261129
906479,1261129
906500,1261129
906521,1261129
906542,1261129
906563,1261129
906584,1261129
906605,1261129
906626,1261129
906646,1261129
906666,1261129
906686,1261129
906706,1261129
906726,1261129
906746,1261129
906766,1261129
906786,1261129
906806,1261129
906826,1261129
906846,1261129
906866,1261129
906886,1261129
906905,1261129
906924,1261129
906943,1261129
906962,1261129
906981,1261129
907000,1261129
907019,1261129
907038,1261129
907057,1261129
907076,1261129
907095,1261129
907114,1261129
907133,1261129
907152,1261129
907171,1261129
907190,1261129
907208,1261129
907226,1261129
907244,1261129
907262,1261129
907280,1261129
907298,1261129
907316,1261129
907334,1261129
907352,1261129
907370,1261129
907388,1261129
907406,1261129
907424,1261129
907442,1261129
907460,1261129
907478,1261129
907496,1261129
907514,1261129
907532,1261129
907550,1261129
907568,1261129
907586,1261129
907604,1261129
907622,1261129
907640,1261129
907657,1261129
907674,1261129
907691,1261129
907708,1261129
907725,1261129
907742,1261129
907759,1261129
907776,1261129
907793,1261129
907810,1261129
907827,1261129
907844,1261129
907861,1261129
907878,1261129
907895,1261129
907911,1261129
907927,1261129
907943,1261129
907959,1261129
907975,1261129
907991,1261129
908007,1261129
908023,1261129
908039,1261129
908055,1261129
908071,1261129
908087,1261129
908103,1261129
908119,1261129
908135,1261129
908151,1261129
908167,1261129
908183,1261129
908199,1261129
908215,1261129
908231,1261129
908247,1261129
908263,1261129
908279,1261129
908295,1261129
908311,1261129
908327,1261129
908343,1261129
908359,1261129
908375,1261129
908391,1261129
908407,1261129
908423,1261129
908439,1261129
908455,1261129
908471,1261129
908487,1261129
908502,1261129
908517,1261129
908532,1261129
908547,1261129
908562,1261129
908577,1261129
908592,1261129
908607,1261129
908622,1261129
908637,1261129
908652,1261129
908667,1261129
908682,1261129
908697,1261129
908712,1261129
908727,1261129
908742,1261129
908757,1261129
908772,1261129
908787,1261129
908802,1261129
908817,1261129
908832,1261129
908847,1261129
908862,1261129
908877,1261129
908892,1261129
908907,1261129
908922,1261129
908937,1261129
908952,1261129
908967,1261129
908982,1261129
908997,1261129
909012,1261129
909027,1261129
909042,1261129
909057,1261129
909072,1261129
909086,1261129
909100,1261129
909114,1261129
909128,1261129
909142,1261129
909156,1261129
909170,1261129
909184,1261129
909198,1261129
909212,1261129
909226,1261129
909240,1261129
909254,1261129
909268,1261129
909282,1261129
909296,1261129
909310,1261129
909324,1261129
909338,1261129
909352,1261129
909366,1261129
909380,1261129
909394,1261129
909408,1261129
909422,1261129
909436,1261129
909450,1261129
909464,1261129
909478,1261129
909492,1261129
909506,1261129
909520,1261129
909534,1261129
909548,1261129
909562,1261129
909576,1261129
909590,1261129
909604,1261129
909618,1261129
909632,1261129
909646,1261129
909660,1261129
909674,1261129
909688,1261129
909702,1261129
909716,1261129
909730,1261129
909744,1261129
909758,1261129
