degree,value
36,0.004132
37,0.004132
34,0.008264
141,0.004132
165,0.004132
248,0.004132
48,0.004132
215,0.004132
98,0.004132
67,0.004132
164,0.004132
175,0.004132
125,0.004132
50,0.004132
64,0.008264
96,0.004132
163,0.004132
154,0.004132
66,0.004132
233,0.004132
89,0.004132
188,0.008264
46,0.004132
174,0.004132
237,0.008264
166,0.008264
173,0.004132
53,0.004132
145,0.004132
60,0.004132
101,0.004132
177,0.004132
78,0.008264
75,0.004132
180,0.004132
158,0.004132
149,0.004132
54,0.004132
221,0.004132
172,0.004132
107,0.004132
90,0.012397
151,0.008264
184,0.004132
152,0.004132
228,0.004132
61,0.008264
42,0.012397
79,0.008264
52,0.004132
57,0.004132
224,0.004132
94,0.004132
261,0.004132
108,0.004132
146,0.008264
72,0.008264
58,0.008264
92,0.008264
168,0.008264
80,0.004132
247,0.004132
251,0.004132
84,0.012397
82,0.004132
161,0.008264
192,0.016529
104,0.012397
183,0.004132
144,0.004132
65,0.008264
176,0.004132
97,0.008264
106,0.008264
185,0.016529
117,0.020661
210,0.008264
43,0.016529
122,0.008264
41,0.004132
199,0.012397
120,0.004132
115,0.008264
124,0.012397
159,0.008264
91,0.012397
236,0.008264
157,0.008264
160,0.008264
49,0.012397
128,0.008264
100,0.012397
179,0.008264
150,0.008264
223,0.004132
56,0.008264
214,0.004132
147,0.004132
68,0.004132
241,0.004132
74,0.008264
222,0.004132
143,0.004132
105,0.004132
134,0.004132
127,0.012397
112,0.004132
130,0.016529
136,0.012397
87,0.008264
186,0.004132
28,0.008264
45,0.004132
212,0.008264
198,0.004132
119,0.004132
200,0.004132
63,0.004132
142,0.012397
111,0.016529
240,0.004132
73,0.004132
93,0.008264
226,0.004132
59,0.008264
138,0.008264
99,0.012397
85,0.004132
95,0.004132
114,0.008264
140,0.012397
126,0.004132
102,0.016529
129,0.008264
244,0.004132
77,0.008264
156,0.012397
189,0.008264
139,0.012397
109,0.008264
202,0.004132
123,0.008264
162,0.012397
76,0.004132
