degree,avg,min,max
28,4.172009,3.555348,4.882802
34,4.286064,3.555348,4.882802
36,4.334855,3.555348,5.036953
37,4.364149,3.555348,5.036953
41,4.370221,3.555348,5.036953
42,4.347071,3.555348,5.036953
43,4.373402,3.555348,5.036953
45,4.384755,3.555348,5.036953
46,4.394202,3.555348,5.036953
48,4.394982,3.555348,5.036953
49,4.394154,3.555348,5.036953
50,4.402283,3.555348,5.147494
52,4.404574,3.555348,5.147494
53,4.419832,3.555348,5.147494
54,4.428288,3.555348,5.147494
56,4.437079,3.555348,5.147494
57,4.445763,3.555348,5.147494
58,4.459070,3.555348,5.147494
59,4.473663,3.555348,5.147494
60,4.484715,3.555348,5.147494
61,4.498230,3.555348,5.209486
63,4.505205,3.555348,5.209486
64,4.517616,3.555348,5.209486
65,4.527735,3.555348,5.209486
66,4.533766,3.555348,5.236442
67,4.539839,3.555348,5.236442
68,4.542642,3.555348,5.236442
72,4.552140,3.555348,5.236442
73,4.557596,3.555348,5.236442
74,4.565050,3.555348,5.236442
75,4.569415,3.555348,5.236442
76,4.573645,3.555348,5.236442
77,4.581887,3.555348,5.236442
78,4.592587,3.555348,5.257495
79,4.601040,3.555348,5.257495
80,4.603554,3.555348,5.257495
82,4.609187,3.555348,5.257495
84,4.625263,3.555348,5.257495
85,4.628269,3.555348,5.257495
87,4.636381,3.555348,5.257495
89,4.639736,3.555348,5.257495
90,4.653867,3.555348,5.342334
91,4.666561,3.555348,5.342334
92,4.673322,3.555348,5.342334
93,4.680919,3.555348,5.342334
94,4.683649,3.555348,5.342334
95,4.685808,3.555348,5.342334
96,4.688960,3.555348,5.342334
97,4.694934,3.555348,5.342334
98,4.698906,3.555348,5.342334
99,4.708573,3.555348,5.342334
100,4.717483,3.555348,5.351858
101,4.720447,3.555348,5.351858
102,4.730417,3.555348,5.351858
104,4.739662,3.555348,5.351858
105,4.743044,3.555348,5.351858
106,4.748764,3.555348,5.351858
107,4.752147,3.555348,5.351858
108,4.754876,3.555348,5.351858
109,4.759928,3.555348,5.351858
111,4.772028,3.555348,5.351858
112,4.774738,3.555348,5.351858
114,4.779344,3.555348,5.351858
115,4.783497,3.555348,5.351858
117,4.795574,3.555348,5.351858
119,4.798045,3.555348,5.351858
120,4.801239,3.555348,5.351858
122,4.806064,3.555348,5.351858
123,4.809788,3.555348,5.351858
124,4.815152,3.555348,5.351858
125,4.817094,3.555348,5.351858
126,4.819204,3.555348,5.351858
127,4.825832,3.555348,5.351858
128,4.828928,3.555348,5.351858
129,4.833051,3.555348,5.351858
130,4.840156,3.555348,5.351858
134,4.841766,3.555348,5.351858
136,4.846906,3.555348,5.351858
138,4.850517,3.555348,5.365976
139,4.856285,3.555348,5.365976
140,4.863138,3.555348,5.375278
141,4.865283,3.555348,5.375278
142,4.870058,3.555348,5.375278
143,4.872610,3.555348,5.375278
144,4.873878,3.555348,5.375278
145,4.875473,3.555348,5.375278
146,4.877856,3.555348,5.375278
147,4.879148,3.555348,5.375278
149,4.880623,3.555348,5.375278
150,4.884068,3.555348,5.379897
151,4.887503,3.555348,5.379897
152,4.889669,3.555348,5.384495
154,4.891225,3.555348,5.384495
156,4.895877,3.555348,5.389072
157,4.900931,3.555348,5.389072
158,4.902801,3.555348,5.398163
159,4.905334,3.555348,5.398163
160,4.908400,3.555348,5.398163
161,4.912183,3.555348,5.407172
162,4.915251,3.555348,5.407172
163,4.917215,3.555348,5.407172
164,4.919326,3.555348,5.424950
165,4.921002,3.555348,5.424950
166,4.924546,3.555348,5.424950
168,4.927034,3.555348,5.424950
172,4.928505,3.555348,5.424950
173,4.930203,3.555348,5.424950
174,4.931206,3.555348,5.424950
175,4.933008,3.555348,5.424950
176,4.933899,3.555348,5.424950
177,4.934598,3.555348,5.424950
179,4.937571,3.555348,5.429346
180,4.938902,3.555348,5.429346
183,4.940279,3.555348,5.429346
184,4.941630,3.555348,5.429346
185,4.946267,3.555348,5.429346
186,4.946816,3.555348,5.429346
188,4.948376,3.555348,5.433722
189,4.951420,3.555348,5.433722
192,4.955109,3.555348,5.446737
198,4.956425,3.555348,5.446737
199,4.958879,3.555348,5.459586
200,4.959805,3.555348,5.459586
202,4.960454,3.555348,5.459586
210,4.962211,3.555348,5.472271
212,4.964489,3.555348,5.476464
214,4.965143,3.555348,5.476464
215,4.965916,3.555348,5.476464
221,4.966976,3.555348,5.488938
222,4.967619,3.555348,5.488938
223,4.968146,3.555348,5.488938
224,4.968718,3.555348,5.493061
226,4.969064,3.555348,5.497168
228,4.969306,3.555348,5.501258
233,4.969779,3.555348,5.501258
236,4.970551,3.555348,5.517453
237,4.971039,3.555348,5.517453
240,4.971249,3.555348,5.525453
241,4.971418,3.555348,5.525453
244,4.971505,3.555348,5.533389
247,4.971635,3.555348,5.537334
248,4.971723,3.555348,5.541264
251,4.971723,3.555348,5.541264
