degree,avg,min,max
28,4.597912,3.737670,5.463832
34,4.703953,3.737670,5.463832
36,4.757362,3.737670,5.513429
37,4.792157,3.737670,5.525453
41,4.791178,3.737670,5.525453
42,4.739836,3.737670,5.525453
43,4.758769,3.737670,5.525453
45,4.770804,3.737670,5.525453
46,4.779817,3.737670,5.525453
48,4.775392,3.737670,5.525453
49,4.765164,3.737670,5.525453
50,4.773601,3.737670,5.525453
52,4.774559,3.737670,5.525453
53,4.789520,3.737670,5.564520
54,4.796708,3.737670,5.564520
56,4.802660,3.737670,5.564520
57,4.810800,3.737670,5.564520
58,4.820641,3.737670,5.564520
59,4.833134,3.737670,5.564520
60,4.843646,3.737670,5.564520
61,4.854676,3.737670,5.564520
63,4.860276,3.737670,5.564520
64,4.871574,3.737670,5.564520
65,4.880761,3.737670,5.564520
66,4.887120,3.737670,5.564520
67,4.892878,3.737670,5.564520
68,4.894033,3.737670,5.564520
72,4.899077,3.737670,5.564520
73,4.902231,3.737670,5.564520
74,4.907167,3.737670,5.564520
75,4.909536,3.737670,5.564520
76,4.911711,3.737670,5.564520
77,4.916353,3.737670,5.564520
78,4.925331,3.737670,5.564520
79,4.930069,3.737670,5.564520
80,4.930842,3.737670,5.564520
82,4.934917,3.737670,5.564520
84,4.946062,3.737670,5.564520
85,4.947034,3.737670,5.564520
87,4.951606,3.737670,5.564520
89,4.953452,3.737670,5.564520
90,4.964219,3.737670,5.564520
91,4.974391,3.737670,5.564520
92,4.978699,3.737670,5.564520
93,4.984346,3.737670,5.564520
94,4.986380,3.737670,5.564520
95,4.986776,3.737670,5.564520
96,4.989416,3.737670,5.564520
97,4.993165,3.737670,5.564520
98,4.996171,3.737670,5.564520
99,5.002848,3.737670,5.564520
100,5.009148,3.737670,5.564520
101,5.011016,3.737670,5.564520
102,5.017025,3.737670,5.564520
104,5.023396,3.737670,5.564520
105,5.026138,3.737670,5.564520
106,5.030451,3.737670,5.564520
107,5.032993,3.737670,5.564520
108,5.034269,3.737670,5.564520
109,5.037050,3.737670,5.564520
111,5.046219,3.737670,5.564520
112,5.048337,3.737670,5.564520
114,5.050827,3.737670,5.564520
115,5.052849,3.737670,5.564520
117,5.060948,3.737670,5.564520
119,5.062040,3.737670,5.564520
120,5.064766,3.737670,5.564520
122,5.067642,3.737670,5.564520
123,5.069582,3.737670,5.564520
124,5.072624,3.737670,5.564520
125,5.074070,3.737670,5.564520
126,5.075386,3.737670,5.564520
127,5.079588,3.737670,5.564520
128,5.081330,3.737670,5.564520
129,5.084279,3.737670,5.564520
130,5.088990,3.737670,5.564520
134,5.089825,3.737670,5.564520
136,5.092649,3.737670,5.564520
138,5.094971,3.737670,5.564520
139,5.098266,3.737670,5.564520
140,5.103107,3.737670,5.564520
141,5.104505,3.737670,5.564520
142,5.107538,3.737670,5.564520
143,5.109413,3.737670,5.564520
144,5.110163,3.737670,5.564520
145,5.111248,3.737670,5.564520
146,5.112764,3.737670,5.564520
147,5.113651,3.737670,5.564520
149,5.114633,3.737670,5.564520
150,5.116932,3.737670,5.564520
151,5.119197,3.737670,5.564520
152,5.120811,3.737670,5.564520
154,5.121892,3.737670,5.564520
156,5.124925,3.737670,5.564520
157,5.128319,3.737670,5.564520
158,5.129758,3.737670,5.564520
159,5.131264,3.737670,5.564520
160,5.133178,3.737670,5.564520
161,5.135804,3.737670,5.564520
162,5.137553,3.737670,5.564520
163,5.138836,3.737670,5.564520
164,5.140302,3.737670,5.564520
165,5.141403,3.737670,5.564520
166,5.143782,3.737670,5.564520
168,5.145270,3.737670,5.564520
172,5.146210,3.737670,5.564520
173,5.147343,3.737670,5.564520
174,5.147930,3.737670,5.564520
175,5.149179,3.737670,5.564520
176,5.149733,3.737670,5.564520
177,5.150145,3.737670,5.564520
179,5.152124,3.737670,5.564520
180,5.153024,3.737670,5.564520
183,5.153955,3.737670,5.564520
184,5.154821,3.737670,5.564520
185,5.157850,3.737670,5.564520
186,5.158156,3.737670,5.564520
188,5.159190,3.737670,5.564520
189,5.161270,3.737670,5.564520
192,5.163671,3.737670,5.564520
198,5.164552,3.737670,5.564520
199,5.166153,3.737670,5.564520
200,5.166772,3.737670,5.564520
202,5.167211,3.737670,5.564520
210,5.168349,3.737670,5.564520
212,5.169862,3.737670,5.564520
214,5.170287,3.737670,5.564520
215,5.170805,3.737670,5.564520
221,5.171509,3.737670,5.564520
222,5.171930,3.737670,5.564520
223,5.172266,3.737670,5.564520
224,5.172637,3.737670,5.564520
226,5.172860,3.737670,5.564520
228,5.173027,3.737670,5.564520
233,5.173321,3.737670,5.564520
236,5.173820,3.737670,5.564520
237,5.174132,3.737670,5.564520
240,5.174273,3.737670,5.564520
241,5.174384,3.737670,5.564520
244,5.174442,3.737670,5.564520
247,5.174527,3.737670,5.564520
248,5.174585,3.737670,5.564520
251,5.174585,3.737670,5.564520
