degree,avg,min,max
28,3.332205,3.332205,3.332205
34,3.438677,3.332205,3.526361
36,3.471267,3.332205,3.583519
37,3.497495,3.332205,3.610918
41,3.534719,3.332205,3.713572
42,3.603123,3.332205,3.737670
43,3.650577,3.332205,3.761200
45,3.663164,3.332205,3.806662
46,3.675513,3.332205,3.828641
48,3.687972,3.332205,3.871201
49,3.718630,3.332205,3.891820
50,3.730597,3.332205,3.912023
52,3.739003,3.332205,3.951244
53,3.752730,3.332205,3.970292
54,3.765966,3.332205,3.988984
56,3.786424,3.332205,4.025352
57,3.799243,3.332205,4.043051
58,3.821966,3.332205,4.060443
59,3.843330,3.332205,4.077537
60,3.854292,3.332205,4.094345
61,3.870817,3.332205,4.110874
63,3.881854,3.332205,4.143135
64,3.901042,3.332205,4.158883
65,3.915909,3.332205,4.174387
66,3.922928,3.332205,4.189655
67,3.929666,3.332205,4.204693
68,3.936128,3.332205,4.219508
72,3.957314,3.332205,4.276666
73,3.968161,3.332205,4.290459
74,3.982897,3.332205,4.304065
75,3.992106,3.332205,4.317488
76,4.001323,3.332205,4.330733
77,4.019554,3.332205,4.343805
78,4.035564,3.332205,4.356709
79,4.053009,3.332205,4.369448
80,4.059528,3.332205,4.382027
82,4.068997,3.332205,4.406719
84,4.097035,3.332205,4.430817
85,4.105627,3.332205,4.442651
87,4.121512,3.332205,4.465908
89,4.129046,3.332205,4.488636
90,4.152650,3.332205,4.499810
91,4.172357,3.332205,4.510860
92,4.185656,3.332205,4.521789
93,4.197873,3.332205,4.532599
94,4.202416,3.332205,4.543295
95,4.208165,3.332205,4.553877
96,4.212885,3.332205,4.564348
97,4.224527,3.332205,4.574711
98,4.230315,3.332205,4.584967
99,4.247462,3.332205,4.595120
100,4.262017,3.332205,4.605170
101,4.267270,3.332205,4.615121
102,4.285904,3.332205,4.624973
104,4.301356,3.332205,4.644391
105,4.306629,3.332205,4.653960
106,4.315868,3.332205,4.663439
107,4.320806,3.332205,4.672829
108,4.326358,3.332205,4.682131
109,4.335734,3.332205,4.691348
111,4.353713,3.332205,4.709530
112,4.358090,3.332205,4.718499
114,4.366663,3.332205,4.736198
115,4.374710,3.332205,4.744932
117,4.394303,3.332205,4.762174
119,4.399216,3.332205,4.779123
120,4.403513,3.332205,4.787492
122,4.412130,3.332205,4.804021
123,4.419489,3.332205,4.812184
124,4.429499,3.332205,4.820282
125,4.432497,3.332205,4.828314
126,4.436085,3.332205,4.836282
127,4.447440,3.332205,4.844187
128,4.453066,3.332205,4.852030
129,4.459683,3.332205,4.859812
130,4.471306,3.332205,4.867534
134,4.474348,3.332205,4.897840
136,4.483580,3.332205,4.912655
138,4.489691,3.332205,4.927254
139,4.499964,3.332205,4.934474
140,4.510643,3.332205,4.941642
141,4.514209,3.332205,4.948760
142,4.522347,3.332205,4.955827
143,4.526254,3.332205,4.962845
144,4.528397,3.332205,4.969813
145,4.531159,3.332205,4.976734
146,4.535186,3.332205,4.983607
147,4.537343,3.332205,4.990433
149,4.539781,3.332205,5.003946
150,4.545264,3.332205,5.010635
151,4.550791,3.332205,5.017280
152,4.553989,3.332205,5.023881
154,4.556378,3.332205,5.036953
156,4.563877,3.332205,5.049856
157,4.571665,3.332205,5.056246
158,4.574287,3.332205,5.062595
159,4.578634,3.332205,5.068904
160,4.583652,3.332205,5.075174
161,4.589451,3.332205,5.081404
162,4.594648,3.332205,5.087596
163,4.597780,3.332205,5.093750
164,4.600910,3.332205,5.099866
165,4.603498,3.332205,5.105945
166,4.609060,3.332205,5.111988
168,4.613193,3.332205,5.123964
172,4.615539,3.332205,5.147494
173,4.618264,3.332205,5.153292
174,4.619960,3.332205,5.159055
175,4.622698,3.332205,5.164786
176,4.624119,3.332205,5.170484
177,4.625262,3.332205,5.176150
179,4.629878,3.332205,5.187386
180,4.631942,3.332205,5.192957
183,4.634100,3.332205,5.209486
184,4.636213,3.332205,5.214936
185,4.643437,3.332205,5.220356
186,4.644361,3.332205,5.225747
188,4.646771,3.332205,5.236442
189,4.651382,3.332205,5.241747
192,4.657124,3.332205,5.257495
198,4.659128,3.332205,5.288267
199,4.662925,3.332205,5.293305
200,4.664362,3.332205,5.298317
202,4.665348,3.332205,5.308268
210,4.668030,3.332205,5.347108
212,4.671496,3.332205,5.356586
214,4.672493,3.332205,5.365976
215,4.673661,3.332205,5.370638
221,4.675273,3.332205,5.398163
222,4.676254,3.332205,5.402677
223,4.677065,3.332205,5.407172
224,4.677938,3.332205,5.411646
226,4.678467,3.332205,5.420535
228,4.678823,3.332205,5.429346
233,4.679555,3.332205,5.451038
236,4.680731,3.332205,5.463832
237,4.681475,3.332205,5.468060
240,4.681790,3.332205,5.480639
241,4.682043,3.332205,5.484797
244,4.682171,3.332205,5.497168
247,4.682367,3.332205,5.509388
248,4.682498,3.332205,5.513429
251,4.682498,3.332205,5.513429
