degree,value
30,0.000995
278,0.000995
294,0.000995
42,0.002985
52,0.001990
111,0.000995
84,0.000995
59,0.001990
83,0.002985
90,0.002985
70,0.000995
91,0.001990
194,0.000995
197,0.001990
186,0.000995
31,0.004975
273,0.000995
8,0.010945
2,0.037811
1,0.084577
228,0.000995
145,0.000995
127,0.001990
6,0.016915
474,0.000995
147,0.001990
179,0.001990
183,0.001990
192,0.002985
307,0.000995
260,0.000995
11,0.009950
4,0.025871
29,0.006965
224,0.000995
116,0.000995
64,0.005970
17,0.008955
7,0.022886
131,0.002985
336,0.000995
205,0.000995
19,0.008955
78,0.000995
272,0.000995
266,0.000995
15,0.008955
73,0.002985
189,0.000995
56,0.006965
41,0.002985
141,0.000995
98,0.000995
34,0.006965
160,0.000995
337,0.000995
99,0.000995
10,0.010945
102,0.001990
225,0.000995
81,0.002985
324,0.000995
57,0.002985
295,0.000995
248,0.000995
86,0.001990
43,0.002985
334,0.000995
206,0.001990
261,0.000995
14,0.006965
108,0.002985
26,0.004975
55,0.001990
171,0.002985
58,0.003980
139,0.001990
309,0.000995
50,0.006965
177,0.000995
514,0.000995
163,0.001990
505,0.000995
370,0.000995
33,0.004975
156,0.000995
85,0.003980
24,0.003980
107,0.002985
282,0.000995
184,0.000995
100,0.004975
169,0.001990
413,0.000995
76,0.003980
134,0.002985
635,0.000995
289,0.000995
122,0.001990
268,0.000995
605,0.000995
104,0.003980
210,0.002985
211,0.001990
381,0.000995
44,0.003980
12,0.012935
281,0.001990
264,0.000995
434,0.000995
97,0.000995
918,0.000995
114,0.003980
451,0.000995
117,0.002985
151,0.002985
318,0.000995
130,0.004975
9,0.013930
346,0.000995
683,0.000995
254,0.001990
87,0.002985
175,0.000995
181,0.003980
132,0.000995
469,0.000995
135,0.002985
74,0.004975
71,0.002985
408,0.000995
241,0.000995
82,0.004975
198,0.001990
28,0.001990
365,0.000995
245,0.000995
304,0.000995
638,0.000995
154,0.002985
233,0.002985
66,0.002985
400,0.000995
172,0.001990
219,0.001990
46,0.002985
720,0.000995
614,0.000995
218,0.000995
51,0.003980
196,0.000995
125,0.001990
88,0.006965
236,0.001990
69,0.003980
199,0.000995
32,0.006965
120,0.006965
47,0.001990
126,0.002985
215,0.001990
385,0.001990
48,0.003980
39,0.007960
203,0.000995
540,0.000995
133,0.001990
300,0.000995
54,0.004975
276,0.001990
109,0.003980
239,0.000995
72,0.003980
165,0.000995
442,0.000995
105,0.006965
68,0.002985
316,0.000995
149,0.002985
237,0.001990
79,0.005970
246,0.003980
190,0.000995
697,0.000995
23,0.006965
123,0.001990
290,0.001990
3,0.027861
340,0.001990
173,0.001990
262,0.000995
95,0.001990
25,0.005970
143,0.005970
222,0.002985
101,0.004975
110,0.004975
170,0.001990
317,0.001990
159,0.000995
80,0.003980
16,0.009950
174,0.001990
20,0.004975
178,0.003980
5,0.019900
679,0.000995
92,0.002985
504,0.000995
167,0.002985
146,0.003980
212,0.001990
45,0.003980
75,0.003980
89,0.005970
67,0.001990
180,0.001990
144,0.000995
592,0.000995
258,0.001990
223,0.000995
560,0.000995
226,0.000995
166,0.000995
21,0.006965
188,0.000995
62,0.006965
113,0.006965
450,0.000995
373,0.000995
36,0.005970
49,0.001990
35,0.007960
195,0.001990
207,0.001990
204,0.000995
37,0.008955
103,0.000995
477,0.000995
140,0.000995
269,0.000995
485,0.000995
148,0.000995
157,0.002985
93,0.001990
124,0.003980
465,0.000995
128,0.000995
96,0.003980
320,0.001990
213,0.000995
164,0.002985
191,0.000995
60,0.004975
227,0.000995
115,0.002985
152,0.001990
61,0.003980
398,0.000995
155,0.000995
492,0.000995
209,0.001990
18,0.006965
112,0.001990
138,0.002985
22,0.009950
129,0.002985
94,0.002985
65,0.003980
473,0.000995
136,0.001990
13,0.006965
687,0.000995
77,0.004975
38,0.008955
27,0.008955
