pairdeg,value
114,0.000030
103,0.000030
122,0.000030
299,0.000030
132,0.000090
164,0.000030
165,0.000030
107,0.000030
140,0.000030
153,0.000030
136,0.000030
108,0.000030
123,0.000030
141,0.000030
131,0.000090
126,0.000030
142,0.000030
163,0.000030
156,0.000030
120,0.000060
151,0.000060
109,0.000030
115,0.000030
125,0.000060
116,0.000090
111,0.000060
148,0.000030
128,0.000030
162,0.000060
124,0.000030
134,0.000030
130,0.000060
97,0.000090
143,0.000030
94,0.000150
117,0.000120
118,0.000060
139,0.000060
119,0.000060
127,0.000060
86,0.000240
74,0.000150
113,0.000060
95,0.000180
133,0.000090
98,0.000090
92,0.000090
93,0.000090
96,0.000180
101,0.000120
80,0.000330
69,0.000630
147,0.000030
85,0.000210
99,0.000090
144,0.000060
90,0.000240
104,0.000150
110,0.000060
73,0.000300
105,0.000060
83,0.000180
102,0.000060
81,0.000270
84,0.000300
100,0.000120
48,0.001290
78,0.000270
60,0.000750
87,0.000090
75,0.000330
77,0.000390
37,0.002010
106,0.000090
194,0.000030
27,0.003060
29,0.002730
237,0.000030
70,0.000450
26,0.003630
62,0.000750
192,0.000030
25,0.003870
22,0.004200
28,0.003330
23,0.004470
24,0.004050
184,0.000030
17,0.007949
188,0.000030
21,0.005250
12,0.011519
91,0.000120
20,0.006629
18,0.006269
4,0.052526
174,0.000060
7,0.020818
42,0.001800
172,0.000030
5,0.040197
170,0.000030
3,0.084833
82,0.000300
1,0.373830
2,0.161657
19,0.006599
173,0.000030
6,0.029398
11,0.012029
10,0.013709
89,0.000210
9,0.014399
88,0.000450
8,0.018629
52,0.001200
182,0.000030
15,0.008579
181,0.000030
14,0.009329
16,0.008279
13,0.010469
44,0.001590
33,0.002670
112,0.000090
59,0.000720
51,0.001410
68,0.000420
49,0.001320
45,0.001470
55,0.001170
65,0.000540
41,0.001320
32,0.002760
199,0.000030
34,0.003330
31,0.002700
197,0.000030
30,0.002490
66,0.000450
35,0.002310
53,0.001230
36,0.001890
47,0.001650
39,0.002190
71,0.000570
56,0.000840
40,0.001920
38,0.002460
76,0.000450
43,0.001620
64,0.000750
63,0.000750
79,0.000330
46,0.001440
61,0.000750
72,0.000390
58,0.000600
50,0.001320
54,0.001050
224,0.000030
57,0.000960
67,0.000570
