degree,avg,min,max
1,3.317509,0.000000,5.840642
2,3.464740,0.000000,5.908083
3,3.635213,0.000000,5.908083
4,3.791124,0.000000,6.133398
5,3.903072,0.000000,6.133398
6,3.956659,0.000000,6.133398
7,3.993049,0.000000,6.133398
8,4.039024,0.000000,6.133398
9,4.107638,0.000000,6.133398
10,4.179176,0.000000,6.133398
11,4.235609,0.000000,6.142037
12,4.275978,0.000000,6.142037
13,4.313454,0.000000,6.144186
14,4.343375,0.000000,6.144186
15,4.366793,0.000000,6.154858
16,4.378529,0.000000,6.154858
17,4.400724,0.000000,6.154858
18,4.424353,0.000000,6.154858
19,4.435774,0.000000,6.154858
20,4.434717,0.000000,6.154858
21,4.443667,0.000000,6.154858
22,4.454154,0.000000,6.154858
23,4.452026,0.000000,6.154858
24,4.448953,0.000000,6.253829
25,4.468075,0.000000,6.253829
26,4.481424,0.000000,6.253829
27,4.493262,0.000000,6.253829
28,4.492201,0.000000,6.253829
29,4.496230,0.000000,6.253829
30,4.501185,0.000000,6.253829
31,4.502554,0.000000,6.253829
32,4.524323,0.000000,6.253829
33,4.531999,0.000000,6.253829
34,4.539336,0.000000,6.253829
35,4.547920,0.000000,6.253829
36,4.551350,0.000000,6.253829
37,4.561890,0.000000,6.253829
38,4.569501,0.000000,6.253829
39,4.581559,0.000000,6.253829
41,4.580661,0.000000,6.253829
42,4.587455,0.000000,6.253829
43,4.588587,0.000000,6.253829
44,4.592941,0.000000,6.253829
45,4.605084,0.000000,6.317165
46,4.610539,0.000000,6.317165
47,4.612835,0.000000,6.317165
48,4.620333,0.000000,6.317165
49,4.623322,0.000000,6.317165
50,4.639357,0.000000,6.318968
51,4.650512,0.000000,6.318968
52,4.656135,0.000000,6.318968
54,4.660981,0.000000,6.318968
55,4.663980,0.000000,6.318968
56,4.668820,0.000000,6.318968
57,4.672665,0.000000,6.318968
58,4.679501,0.000000,6.318968
59,4.682739,0.000000,6.318968
60,4.685166,0.000000,6.318968
61,4.693379,0.000000,6.318968
62,4.707542,0.000000,6.318968
64,4.715490,0.000000,6.318968
65,4.720670,0.000000,6.318968
66,4.722334,0.000000,6.318968
67,4.723935,0.000000,6.318968
68,4.726041,0.000000,6.318968
69,4.732299,0.000000,6.318968
70,4.733815,0.000000,6.318968
71,4.736491,0.000000,6.318968
72,4.744001,0.000000,6.318968
73,4.751556,0.000000,6.318968
74,4.759578,0.000000,6.318968
75,4.766315,0.000000,6.376727
76,4.769312,0.000000,6.376727
77,4.778456,0.000000,6.376727
78,4.781404,0.000000,6.376727
79,4.788284,0.000000,6.376727
80,4.793597,0.000000,6.376727
81,4.798613,0.000000,6.376727
82,4.808205,0.000000,6.376727
83,4.812056,0.000000,6.376727
84,4.820518,0.000000,6.376727
85,4.827791,0.000000,6.376727
86,4.831044,0.000000,6.376727
87,4.834425,0.000000,6.376727
88,4.839763,0.000000,6.376727
89,4.846076,0.000000,6.376727
90,4.852698,0.000000,6.376727
91,4.852838,0.000000,6.376727
92,4.857016,0.000000,6.376727
93,4.859189,0.000000,6.376727
94,4.860350,0.000000,6.376727
95,4.863879,0.000000,6.376727
96,4.871118,0.000000,6.376727
97,4.871678,0.000000,6.376727
98,4.873297,0.000000,6.376727
99,4.873781,0.000000,6.376727
100,4.880463,0.000000,6.376727
101,4.885125,0.000000,6.376727
102,4.887299,0.000000,6.376727
103,4.889145,0.000000,6.376727
104,4.891802,0.000000,6.376727
105,4.900703,0.000000,6.376727
107,4.901737,0.000000,6.376727
108,4.904679,0.000000,6.376727
109,4.910909,0.000000,6.376727
110,4.915949,0.000000,6.376727
111,4.916457,0.000000,6.376727
112,4.917358,0.000000,6.376727
113,4.925285,0.000000,6.376727
114,4.928612,0.000000,6.376727
115,4.930734,0.000000,6.376727
116,4.931199,0.000000,6.376727
117,4.934055,0.000000,6.376727
120,4.944944,0.000000,6.376727
122,4.945893,0.000000,6.376727
123,4.948532,0.000000,6.376727
124,4.958673,0.000000,6.376727
125,4.962103,0.000000,6.376727
126,4.967304,0.000000,6.376727
127,4.969706,0.000000,6.376727
128,4.971131,0.000000,6.376727
129,4.974271,0.000000,6.376727
130,4.978589,0.000000,6.376727
131,4.983801,0.000000,6.376727
132,4.984749,0.000000,6.376727
133,4.986355,0.000000,6.376727
134,4.988821,0.000000,6.376727
135,4.991648,0.000000,6.393591
136,4.993272,0.000000,6.393591
138,4.996134,0.000000,6.393591
139,4.997589,0.000000,6.393591
140,4.998426,0.000000,6.393591
141,4.999730,0.000000,6.393591
143,5.007785,0.000000,6.393591
144,5.008543,0.000000,6.393591
145,5.009640,0.000000,6.393591
146,5.012207,0.000000,6.393591
147,5.020491,0.000000,6.393591
148,5.021304,0.000000,6.393591
149,5.028566,0.000000,6.393591
151,5.032296,0.000000,6.393591
152,5.036289,0.000000,6.393591
154,5.038359,0.000000,6.393591
155,5.039560,0.000000,6.393591
156,5.041102,0.000000,6.393591
157,5.044658,0.000000,6.393591
159,5.047365,0.000000,6.393591
160,5.047723,0.000000,6.393591
163,5.048960,0.000000,6.393591
164,5.051923,0.000000,6.393591
165,5.052438,0.000000,6.393591
166,5.052896,0.000000,6.393591
167,5.055382,0.000000,6.393591
169,5.057434,0.000000,6.393591
170,5.059611,0.000000,6.393591
171,5.065947,0.000000,6.393591
172,5.067985,0.000000,6.393591
173,5.070380,0.000000,6.393591
174,5.072944,0.000000,6.393591
175,5.075655,0.000000,6.393591
177,5.076042,0.000000,6.393591
178,5.079732,0.000000,6.393591
179,5.083251,0.000000,6.393591
180,5.087418,0.000000,6.393591
181,5.093959,0.000000,6.393591
183,5.096883,0.000000,6.393591
184,5.097493,0.000000,6.393591
186,5.099626,0.000000,6.393591
188,5.100410,0.000000,6.393591
189,5.102600,0.000000,6.393591
190,5.103640,0.000000,6.393591
191,5.106094,0.000000,6.413459
192,5.113003,0.000000,6.413459
194,5.113382,0.000000,6.413459
195,5.117560,0.000000,6.413459
196,5.118250,0.000000,6.413459
197,5.123119,0.000000,6.413459
198,5.125778,0.000000,6.413459
199,5.126945,0.000000,6.413459
203,5.128270,0.000000,6.413459
204,5.128700,0.000000,6.413459
205,5.129665,0.000000,6.413459
206,5.134501,0.000000,6.413459
207,5.138076,0.000000,6.413459
209,5.143021,0.000000,6.436150
210,5.149681,0.000000,6.436150
211,5.152662,0.000000,6.436150
212,5.157166,0.000000,6.437752
213,5.157821,0.000000,6.437752
215,5.159971,0.000000,6.437752
218,5.161062,0.000000,6.437752
219,5.163806,0.000000,6.437752
222,5.165817,0.000000,6.437752
223,5.166896,0.000000,6.440947
224,5.167911,0.000000,6.440947
225,5.170179,0.000000,6.442540
226,5.170892,0.000000,6.442540
227,5.172863,0.000000,6.442540
228,5.173091,0.000000,6.442540
233,5.176608,0.000000,6.442540
236,5.178829,0.000000,6.442540
237,5.179406,0.000000,6.442540
239,5.180110,0.000000,6.442540
241,5.181616,0.000000,6.442540
245,5.182785,0.000000,6.442540
246,5.187168,0.000000,6.442540
248,5.187840,0.000000,6.442540
254,5.189633,0.000000,6.442540
258,5.193098,0.000000,6.442540
260,5.194260,0.000000,6.442540
261,5.195772,0.000000,6.442540
262,5.196888,0.000000,6.442540
264,5.197776,0.000000,6.442540
266,5.199814,0.000000,6.442540
268,5.201624,0.000000,6.442540
269,5.203097,0.000000,6.442540
272,5.204033,0.000000,6.442540
273,5.204817,0.000000,6.442540
276,5.206843,0.000000,6.442540
278,5.209653,0.000000,6.442540
281,5.211631,0.000000,6.442540
282,5.212845,0.000000,6.442540
289,5.214187,0.000000,6.442540
290,5.215314,0.000000,6.442540
294,5.216790,0.000000,6.442540
295,5.218405,0.000000,6.442540
300,5.219735,0.000000,6.442540
304,5.220210,0.000000,6.442540
307,5.221365,0.000000,6.442540
