degree,avg,min,max
1,3.910927,0.000000,6.579251
2,4.054886,0.000000,6.579251
3,4.254734,0.000000,6.579251
4,4.422659,0.000000,6.579251
5,4.542035,0.000000,6.579251
6,4.595980,0.000000,6.579251
7,4.627504,0.000000,6.822197
8,4.682509,0.000000,6.822197
9,4.756797,0.000000,6.822197
10,4.836173,0.000000,6.822197
11,4.891823,0.000000,6.822197
12,4.934618,0.000000,6.822197
13,4.973150,0.000000,6.822197
14,5.001200,0.000000,6.822197
15,5.026947,0.000000,6.822197
16,5.033185,0.000000,6.822197
17,5.054327,0.000000,6.822197
18,5.074259,0.000000,6.822197
19,5.082836,0.000000,6.822197
20,5.076376,0.000000,6.822197
21,5.083790,0.000000,6.822197
22,5.088958,0.000000,6.822197
23,5.081143,0.000000,6.822197
24,5.076562,0.000000,6.822197
25,5.096827,0.000000,6.822197
26,5.110090,0.000000,6.822197
27,5.116515,0.000000,6.822197
28,5.116002,0.000000,6.822197
29,5.114096,0.000000,6.822197
30,5.119089,0.000000,6.822197
31,5.117479,0.000000,6.822197
32,5.139273,0.000000,6.822197
33,5.148853,0.000000,6.822197
34,5.153306,0.000000,6.822197
35,5.157579,0.000000,6.822197
36,5.158128,0.000000,6.822197
37,5.163519,0.000000,6.822197
38,5.167034,0.000000,6.822197
39,5.177100,0.000000,6.822197
41,5.174925,0.000000,6.822197
42,5.181147,0.000000,6.822197
43,5.181001,0.000000,6.822197
44,5.182999,0.000000,6.822197
45,5.194629,0.000000,6.822197
46,5.198029,0.000000,6.822197
47,5.199606,0.000000,6.822197
48,5.204275,0.000000,6.822197
49,5.207220,0.000000,6.822197
50,5.220484,0.000000,6.822197
51,5.230648,0.000000,6.822197
52,5.236451,0.000000,6.822197
54,5.236899,0.000000,6.822197
55,5.239552,0.000000,6.822197
56,5.240112,0.000000,6.822197
57,5.242675,0.000000,6.822197
58,5.250398,0.000000,6.822197
59,5.252638,0.000000,6.822197
60,5.251160,0.000000,6.822197
61,5.257985,0.000000,6.822197
62,5.270516,0.000000,6.822197
64,5.275723,0.000000,6.822197
65,5.280026,0.000000,6.822197
66,5.279620,0.000000,6.822197
67,5.280224,0.000000,6.822197
68,5.280079,0.000000,6.822197
