degree,avg,min,max
1,0.000000,0.000000,0.000000
2,0.329026,0.000000,0.693147
3,0.596155,0.000000,1.098612
4,0.832052,0.000000,1.386294
5,0.984267,0.000000,1.609438
6,1.113845,0.000000,1.791759
7,1.290771,0.000000,1.945910
8,1.379240,0.000000,2.079442
9,1.490432,0.000000,2.197225
10,1.570869,0.000000,2.302585
11,1.651186,0.000000,2.397895
12,1.746975,0.000000,2.484907
13,1.796054,0.000000,2.564949
14,1.847356,0.000000,2.639057
15,1.916901,0.000000,2.708050
16,1.998675,0.000000,2.772589
17,2.061795,0.000000,2.833213
18,2.109155,0.000000,2.890372
19,2.161973,0.000000,2.944439
20,2.193868,0.000000,2.995732
21,2.243744,0.000000,3.044522
22,2.312405,0.000000,3.091042
23,2.353543,0.000000,3.135494
24,2.380234,0.000000,3.178054
25,2.419516,0.000000,3.218876
26,2.451308,0.000000,3.258097
27,2.510568,0.000000,3.295837
28,2.521886,0.000000,3.332205
29,2.559507,0.000000,3.367296
30,2.566569,0.000000,3.401197
31,2.594735,0.000000,3.433987
32,2.640159,0.000000,3.465736
33,2.670524,0.000000,3.496508
34,2.707656,0.000000,3.526361
35,2.751215,0.000000,3.555348
36,2.782389,0.000000,3.583519
37,2.828773,0.000000,3.610918
38,2.871652,0.000000,3.637586
39,2.905496,0.000000,3.663562
41,2.913388,0.000000,3.713572
42,2.926265,0.000000,3.737670
43,2.937320,0.000000,3.761200
44,2.956139,0.000000,3.784190
45,2.977919,0.000000,3.806662
46,2.994566,0.000000,3.828641
47,3.003011,0.000000,3.850148
48,3.024824,0.000000,3.871201
49,3.035354,0.000000,3.891820
50,3.069751,0.000000,3.912023
51,3.091633,0.000000,3.931826
52,3.100467,0.000000,3.951244
54,3.123344,0.000000,3.988984
55,3.133070,0.000000,4.007333
56,3.163156,0.000000,4.025352
57,3.177227,0.000000,4.043051
58,3.191896,0.000000,4.060443
59,3.200532,0.000000,4.077537
60,3.221492,0.000000,4.094345
61,3.241267,0.000000,4.110874
62,3.271240,0.000000,4.127134
64,3.296932,0.000000,4.158883
65,3.311114,0.000000,4.174387
66,3.320810,0.000000,4.189655
67,3.327265,0.000000,4.204693
68,3.338471,0.000000,4.219508
69,3.356798,0.000000,4.234107
70,3.362089,0.000000,4.248495
71,3.371583,0.000000,4.262680
72,3.388919,0.000000,4.276666
73,3.402484,0.000000,4.290459
74,3.421484,0.000000,4.304065
75,3.434194,0.000000,4.317488
76,3.445662,0.000000,4.330733
